"id","codigo","nombre","creditos","descripcion","objetivo","contenidos"
"IEE0405","EE0405","Instrumentación","2","El curso de Instrumentación aporta en el desarrollo de los siguientes rasgos del plan de estudios: implementar sistemas de instrumentación para la medición y modificación de variables físicas en sistemas electromecánicos; y aplicar principios de metrología para medir variables físicas en sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: integrar transductores, sistemas de adquisición de datos e instrumentos virtuales para la implementación de sistemas de instrumentación; automatizar la adquisición, el procesamiento, la visualización y el control de señales usando instrumentos virtuales; y evaluar el error en la medición y manipulación de variables físicas usando los principios de la metrología.","Implementar sistemas de instrumentación precisos y confiables para la medición y manipulación de variables físicas en sistemas electromecánicos","• Sistemas de adquisición de datos
• Instrumentos virtuales
• Simbología y metrología de instrumentación"
"IMM0407","EE0407","Termodinámica","3","El curso de Termodinámica aporta en el desarrollo del siguiente rasgo del plan de estudios: aplicar los principios de la mecánica de sólidos y fluidos, termodinámica y transferencia de calor para  analizar el comportamiento de los sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: aplicar los conceptos fundamentales de la termodinámica en el análisis energético de sistemas térmicos; analizar las propiedades termodinámicas de las sustancias puras y su impacto en el diseño y operación de sistemas térmicos; evaluar el desempeño de los diferentes ciclos termodinámicos y su aplicación en la conversión de energía en sistemas de potencia, refrigeración y otros procesos industriales; y comprender el uso de la primera y segunda ley de la termodinámica en la solución de problemas de ingeniería.","Evaluar los principios básicos de la termodinámica clásica en el análisis energético del comportamiento de los sistemas electromecánicos, desarrollando un enfoque integral en la comprensión y gestión de estos sistemas","• Conceptos y definiciones
• Energía y transferencia de energía
• Propiedades de una sustancia
• Trabajo y calor
• Primera ley de la termodinámica
• Segunda ley de la termodinámica
• Entropía
• Ciclos de generación"
"IEE0503","EE0503","Sistemas analógicos","2","El curso de Sistemas analógicos aporta en el desarrollo del siguiente rasgo del plan de estudios: conocer y aplicar los principios de los circuitos eléctricos y la electrónica, y analizar su funcionamiento en las diversas aplicaciónes en ingeniería electromecánica
Los aprendizajes que los estudiantes desarrollarán en el curso son: comprender las características de operación y principios fundamentales de dispositivos y circuitos electrónicos analógicos, tales como amplificadores operacionales, comparadores, reguladores, convertidores y dispositivos de electrónica de potencia; analizar el comportamiento y las configuraciones típicas de circuitos integrados para identificar su funcionalidad y condiciones óptimas de operación en diferentes contextos; seleccionar adecuadamente los componentes electrónicos según sus especificaciones técnicas, criterios de eficiencia, confiabilidad y aplicación en sistemas analógicos y de potencia; y diseñar soluciones electrónicas funcionales mediante la integración de circuitos integrados y dispositivos electrónicos, aplicando criterios de desempeño, seguridad y viabilidad técnica.","Desarrollar competencias en el análisis, selección y aplicación de dispositivos y circuitos electrónicos analógicos, con el fin de diseñar soluciones electrónicas funcionales en diversas aplicaciones prácticas","• Introducción a los sistemas analógicos
• Dispositivos electrónicos
• Reguladores de voltaje
• Aplicaciones de los sistemas analógicos
• Convertidores
• Circuitos integrados especiales
• Electrónica de potencia"
"AUT0504","EE0504","Modelado y simulación de sistemas","3","El curso de Modelado y simulación de sistemas aporta en el desarrollo del siguiente rasgo del plan de estudios: diseñar e implementar sistemas de control y automatización en sistemas electromecánicos integrando modelado y simulación
Los aprendizajes que los estudiantes desarrollarán en el curso son: aplicar herramientas matemáticas de transformación entre el dominio del tiempo y frecuencia; aplicar herramientas de modelado matemático para representar sistemas electromecánicos, integrando conceptos físicos de sistemas eléctricos, mecánicos, hidráulicos y térmicos; implementar simulaciones computacionales que permitan analizar el comportamiento de los sistemas electromecánicos bajo distintas condiciones de operación; y evaluar el resultado de las simulaciones para garantizar su validez.","Modelar sistemas electromecánicos, utilizando herramientas matemáticas y computacionales que permitan analizar su comportamiento en diferentes escenarios operativos","• Introducción y modelado de sistemas
• Transformada de Laplace
• Modelos por espacio de estado
• Modelado matemático
• Análisis de la respuesta de los modelos
• Métodos numéricos para la simulación de sistemas
• Identificación de sistemas en el dominio del tiempo
• Introducción a las redes nueronales para el modelado de sistemas
• Introducción a la lógica difusa para el modelado de sistemas"
"IMM0507","EE0507","Manufactura","2","El curso de Manufactura aporta en el desarrollo del siguiente rasgo del plan de estudios: evaluar las caracteristicas de los materiales y seleccionar los procesos de manufactura adecuados para el desarrollo y la producción de sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: analizar las características de los materiales y su influencia en la selección de procesos de manufactura para la fabricación de productos; clasificar los diferentes procesos de manufactura con base en su aplicabilidad y su relación con las etapas de diseño e inspección; y determinar las técnicas de manufactura más adecuadas según los requerimientos de diseño, funcionalidad y costos.","Seleccionar los procesos de manufactura necesarios para la creación de productos a partir de la comprensión de las características de los materiales, los recursos disponibles y los procesos de manufactura utilizados en la industria electromecánica y su relación con las etapas de diseño e inspección","• Introducción a la manufactura
• Procesos de manufactura
• Automatización en manufactura
• Metrología dimensional
• Diseño para manufactura y ensamblaje (DFMA)
• Micromanufactura
• Manufactura sostenible"
"IMM0508","EE0508","Laboratorio de manufactura","2","El curso de Laboratorio de manufactura aporta en el desarrollo de los siguientes rasgos del plan de estudios: evaluar las caracteristicas de los materiales y seleccionar los procesos de manufactura adecuados para el desarrollo y la producción de sistemas electromecánicos; y aplicar principios de metrología para medir variables físicas en sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: explorar, mediante demostraciones y prácticas dirigidas, el funcionamiento y aplicación de los procesos de manufactura más relevantes en la industria electromecánica, y su relación con las características de los materiales; evaluar los datos obtenidos de los procesos de manufactura para comprender su impacto en la calidad, eficiencia y viabilidad del producto final; y relacionar los procesos de manufactura con las etapas de diseño e inspección, destacando su influencia en la optimización y mejora del desarrollo de productos.","Comprender los principales procesos de manufactura en la industria electromecánica mediante demostraciones, prácticas dirigidas y análisis de datos, resaltando su relación con las características de los materiales y las etapas de diseño e inspección","• Introducción a la planta de manufactura
• Procesos de manufactura
• Automatización en manufactura
• Metrología dimensional
• Diseño para manufactura y ensamblaje (DFMA)
• Micromanufactura
• Manufactura sostenible"
"ADD0602","EE0602","Fiabilidad y disponibilidad de sistemas electromecánicos","2","El curso de Fiabilidad y disponibilidad de sistemas electromecánicos aporta en el desarrollo del siguiente rasgo del plan de estudios: aplicar herramientas estadísticas, evaluar datos con rigor científico, y garantizar la confiabilidad, disponibilidad, mantenibilidad y seguridad en sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: comprender los fundamentos de confiabilidad, disponibilidad, mantenibilidad y seguridad (RAMS) en sistemas electromecánicos, así como su importancia en la industria; modelar modos de falla, utilizando metodologías como FMEA (Análisis de Modos y Efectos de Falla) y FTA (Análisis de Árbol de Fallas); diseñar estrategias de mantenimiento óptimo, incluyendo mantenimiento predictivo, preventivo y correctivo, basadas en criterios de disponibilidad y costos; y elaborar planes de mitigación de riesgos que garanticen la seguridad operacional en sistemas electromecánicos, integrando normativas y mejores prácticas de la industria.","Aplicar las herramientas estadísticas, metodologías de análisis de fallos y estrategias de mantenimiento, para el análisis y mejora de la confiabilidad, disponibilidad, mantenibilidad y seguridad (RAMS), de sistemas electromecánicos que garanticen el funcionamiento seguro y eficiente","• Introducción a la fiabilidad, disponibilidad, mantenibilidad y seguridad (RAMS) en sistemas electromecánicos
• Métodos estadísticos aplicados a la confiabilidad
• Análisis de Modos y Efectos de Fallo (FMEA) y Análisis de Árbol de Fallos (FTA)
• Análisis Weibull y estimación de vida útil de componentes
• Modelos de confiabilidad para sistemas en serie, paralelo y redundancia
• Estrategias de mantenimiento: correctivo, preventivo, predictivo y basado en condición
• Optimización de planes de mantenimiento y análisis costo-beneficio
• Planificación de contingencias y resiliencia en sistemas electromecánicos
• Métodos de análisis de seguridad y normativas internacionales"
"IEE0604","EE0604","Sistemas digitales","2","El curso de Sistemas digitales aporta en el desarrollo del siguiente rasgo del plan de estudios: conocer y aplicar los principios de los circuitos eléctricos y la electrónica, y analizar su funcionamiento en las diversas aplicaciónes en ingeniería electromecánica
Los aprendizajes que los estudiantes desarrollarán en el curso son: aplicar técnicas de simplificación de variables en circuitos combinacionales; implementar conectivas lógicas en lógica digital y lógica programada en FPGA; analizar el funcionamiento, diseño e implementación de contadores digitales, MUX y Decos y ADC; e implementar circuitos digitales combinacionales y secuenciales usando lenguajes como VHDL o Verilog.","Desarrollar circuitos digitales con circuitos integrados y/o componentes programados","• Introducción a los Sistemas Digitales
• Reducción de expresiones booleanas
• Circuitos Combinacionales
• Circuitos Secuenciales
• Elementos de Memoria
• Unidad Aritmética y Lógica (ALU)
• Lenguaje de Descripción de Hardware (VHDL)
• FPGAs (Field-Programmable Gate Arrays)
• Programación de FPGAs con VHDL"
"IMM0605","EE0605","Resistencia de materiales","3","El curso de Resistencia de materiales aporta en el desarrollo del siguiente rasgo del plan de estudios: aplicar los principios de la mecánica de sólidos y fluidos, termodinámica y transferencia de calor para  analizar el comportamiento de los sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: analizar los diferentes tipos de esfuerzos y deformaciones en materiales sólidos, bajo diversas condiciones de carga, aplicando principios de mecánica de materiales; determinar las deformaciones y esfuerzos resultantes en un cuerpo sólido, ocasionadas por una condición de carga dada o viceversa; seleccionar materiales adecuados, según sus propiedades mecánicas para aplicaciones de carga específicas; y obtener de las dimensiones óptimas y/o factor de seguridad de un componente dúctil o frágil, dentro de sus límites de esfuerzo y deformación, aplicando las teorías de falla estática.","Resolver problemas de sólidos sometidos a esfuerzos y deformaciones, con énfasis en el diseño y evaluación de estructuras y componentes mecánicos sencillos, aplicando los principios fundamentales y normas de la mecánica de materiales","• Introducción a la mecánica de materiales
• Deformación
• Propiedades mecánicas de los materiales
• Carga axial
• Torsión
• Flexión
• Fuerza cortante transversal
• Cargas combinadas
• Transformación de esfuerzos
• Transformación de deformaciones
• Diseño de vigas y ejes
• Deflexión de vigas y ejes
• Pandeo de columnas
• Métodos de Energía"
"IMM0607","EE0607","Mecánica de fluidos","3","El curso de Mecánica de fluidos aporta en el desarrollo del siguiente rasgo del plan de estudios: aplicar los principios de la mecánica de sólidos y fluidos, termodinámica y transferencia de calor para  analizar el comportamiento de los sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: conocer las ecuaciones que gobiernan el movimiento de los fluidos, con énfasis en las ecuaciones de Navier-Stokes y las simplificaciones necesarias para su aplicación en distintos contextos; analizar las propiedades de los fluidos y su relación con el comportamiento de sistemas hidráulicos y neumáticos; aplicar los principios fundamentales de la estática y dinámica de fluidos en la solución de problemas de ingeniería; evaluar la pérdida de energía en sistemas de flujo, diseñando sistemas de transporte de fluidos eficientes; e implementar herramientas computacionales y metodologías experimentales en el análisis de sistemas de flujo de fluidos.","Analizar sistemas de transporte de fluidos aplicando sus propiedades, el comportamiento estático y dinámico, y las ecuaciones fundamentales que rigen su movimiento","• Fluidos y sus propiedades
• Estática de fluidos
• Cinemática de fluidos (fluidos en movimiento)
• Dinámica de fluidos (principios de energía)
• Flujo en tuberías
• Pérdidas de energía debido a la fricción
• Sistemas de tuberías
• Análisis computacional de fluidos"
"IMM0608","EE0608","Laboratorio de mecánica de fluidos","1","El curso de Laboratorio de mecánica de fluidos aporta en el desarrollo de los siguientes rasgos del plan de estudios: aplicar los principios de la mecánica de sólidos y fluidos, termodinámica y transferencia de calor para  analizar el comportamiento de los sistemas electromecánicos; y aplicar principios de metrología para medir variables físicas en sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: identificar las propiedades de los fluidos mediante técnicas experimentales; aplicar métodos de medición para la caracterización del flujo de fluidos en diversas condiciones; evaluar experimentalmente la influencia de la viscosidad, presión y pérdidas de carga en sistemas hidráulicos; e interpretar resultados experimentales a través de cálculos, gráficas y análisis de tendencias para validar principios fundamentales de la mecánica de fluidos.","Aplicar los principios de la mecánica de fluidos para el análisis del comportamiento de los sistemas con fluidos a través de la experimentación en laboratorio, fortaleciendo la comprensión de los conceptos teóricos mediante la recolección y análisis de datos experimentales","• Laboratorio de propiedades de los fluidos
• Laboratorio de ley de Stokes y cálculo de viscosidad
• Laboratorio de medición de presión mediante manómetros
• Laboratorio de métodos para medir caudal y flujo másico en aire y agua
• Laboratorio de estudio experimental del principio de Bernoulli
• Laboratorio de análisis de tanques hidroneumáticos
• Laboratorio de regímenes de flujo: laminar y turbulento
• Laboratorio de pérdidas de carga en tuberías, accesorios y válvulas
• Laboratorio de flujo externo
• Laboratorio de redes hidráulicas"
"CYD0609","EE0609","Dibujo industrial","3","El curso de Dibujo industrial aporta en el desarrollo del siguiente rasgo del plan de estudios: estructurar sus ideas de manera clara y transmitirlas de forma oral, escrita o mediante dibujos de ingeniería, tanto en español como en inglés
Los aprendizajes que los estudiantes desarrollarán en el curso son: comprender los principios teóricos del dibujo técnico aplicados a vistas auxiliares, cortes, secciones y conjuntos mecánicos, esenciales para la representación gráfica precisa de componentes mecánicos y máquinas; implementar las normas de tolerancias geométricas y dimensionales, rugosidades y acabados superficiales, así como de elementos estandarizados, garantizando una representación gráfica adecuada de componentes mecánicos y máquinas; utilizar las normativas de dibujo para sistemas electromecánicos en la representación y especificación precisa de instalaciones electromecánicas, tanto de sistemas eléctricos, de transporte de fluidos y mecánico-sanitarios; y emplear herramientas computacionales de manera integral, para la lectura, diseño y edición de planos técnicos de ingeniería, abarcando tanto máquinas como instalaciones electromecánicas.","Aplicar de manera efectiva los fundamentos, normas y herramientas del dibujo técnico para la elaboración e interpretación de planos constructivos de piezas, conjuntos mecánicos y sistemas electromecánicos de forma clara y precisa, tanto en español como en inglés","• Introducción al dibujo industrial
• Cortes y secciones
• Vistas auxiliares
• Ajustes y tolerancias mecánicos
• Rugosidad y acabados superficiales de piezas mecánicas
• Uniones mecánicas
• Conjuntos mecánicos
• Instalaciones electromecánicas"
"FPH0701","EE0701","Administración de proyectos","2","El curso de Administración de proyectos aporta en el desarrollo del siguiente rasgo del plan de estudios: administrar eficientemente proyectos, garantizando el cumplimiento de objetivos técnicos, financieros y de tiempo
Los aprendizajes que los estudiantes desarrollarán en el curso son: definir las herramientas técnico-administrativas, legales y ambientales, para el análisis del entorno (contexto nacional e internacional) en la determinación de oportunidades innovadoras de desarrollo, alineadas con los objetivos y metas estratégicas de la organización; aplicar las herramientas de planificación, estimación, implementación, evaluación y seguimiento de proyectos para la adecuada gestión de un proyecto; emplear herramientas de optimización de recursos financieros, humanos, materiales y tiempo durante la ejecución de proyectos, estableciendo sus indicadores de gestión; y explorar las nuevas tendencias y desarrollos en el tema de la gestión de proyectos y su aplicación dependiendo del tipo de proyecto.","Evaluar proyectos de ingeniería utilizando herramientas de planeamiento y gestión para la toma de decisiones alineadas con la estrategia de la organización, garantizando el cumplimiento de objetivos técnicos, financieros y de tiempo","• El estudio de proyectos
• Oportunidades de negocio e investigación
• Presupuestos electromecánicos
• Alcances del estudio de proyectos
• Evaluación financiera de proyectos
• Fundamentos de la gestión de proyectos
• Estimación de costos y tiempos del proyecto
• Construcción de redes de proyectos
• Nuevas tendencias en formulación y administración de proyectos"
"IEE0702","EE0702","Máquinas eléctricas I","3","El curso de Máquinas eléctricas I aporta en el desarrollo del siguiente rasgo del plan de estudios: evaluar el comportamiento de las máquinas eléctricas y sus accionamientos bajo diversas condiciones de operación, así como analizar su diseño y aplicaciones
Los aprendizajes que los estudiantes desarrollarán en el curso son: analizar los principios de operación de los sistemas trifásicos, circuitos magnéticos, transformadores y máquinas de inducción, comprendiendo su funcionamiento y modelado matemático; calcular el desempeño de las máquinas eléctricas y sus accionamientos bajo diferentes condiciones de carga y operación, identificando factores que afectan su eficiencia y estabilidad; aplicar métodos de análisis para la interpretación de las curvas características, circuitos equivalentes y parámetros clave en transformadores y motores de inducción; y seleccionar máquinas eléctricas para aplicaciones específicas en la industria y sistemas de generación, transmisión y distribución de energía.","Evaluar el comportamiento de los sistemas trifásicos, circuitos magnéticos, transformadores y máquinas de inducción para la comprensión de su funcionamiento, diseño y aplicaciones en sistemas eléctricos y de accionamiento","• Sistema monofásico
• Sistemas trifásicos
• Potencia monofásica y trifásica
• Estructuras ferromagnéticas excitadas en corriente directa
• Estructuras ferromagnéticas excitadas en corriente alterna
• Transformadores monofásicos
• Transformadores trifásicos
• Motor trifásico de inducción
• Motor monofásico de inducción
• Generador de inducción trifásico, auto-excitado"
