id,evaluacion
MI4210,"Trabajo en clase; 8; 40
Informes de laboratorio; 8; 35
Exámenes cortos; 4; 20
Presentación de laboratorio; 1; 5"
MI4212,"Exámenes cortos; 0; 20
Tareas; 0; 15
Ensayo sobre ética y equidad en el diseño eléctrico; 1; 5
Proyecto de Diseño Eléctrico Residencial; 1; 15
Proyecto de Diseño Eléctrico Comercial o Industrial; 1; 20
Examen final; 1; 25"
MI4305,"Trabajos de campo; 0; 0
Proyectos; 0; 0
Realización de tareas o casos; 0; 0
Exámenes parciales; 0; 0
Exámenes corto; 0; 0"
MI4311,"Quices; 2; 20
Examen final; 1; 30
Costos de estudio; 2; 50"
MI4510,"Exámenes parciales; 3; 60
Investigación; 1; 25
Tareas; 0; 15"
MI5135,
MI5152,
MI5215,
MI5411,
MI6153,"Informes; 2; 40
Entrega final; 1; 60"
MI6252,
MI6253,
MI6254,
MI6255,"Exámenes; 2; 40
Tareas; 5; 25 
Prácticas dirigidas; 2; 10
Proyecto; 1; 25"
MI6351,"Trabajos de campo; 0; 0
Realización de tareas o casos; 0; 0
Proyecto final curso; 0; 0"
MI8304,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
