id,metodologia
IEM2206,
IEM2207,"Se ofrecerán clases magistrales de manera presencial, en las cuales se presentarán los conceptos relevantes de cada tema. Estos conceptos serán luego abordados por los estudiantes a través de numerosas prácticas, tareas y exámenes cortos. Durante el horario establecido, los estudiantes tendrán la oportunidad de consultar al profesor para aclarar dudas relacionadas tanto con el contenido teórico como con las tareas relacionadas a proyectos asignados.
A lo largo del curso, se fomentará la participación de los estudiantes en diversas actividades en clase, como preguntas dirigidas por el profesor y trabajos en grupos para resolver ejercicios específicos relacionados con los temas tratados en las lecciones correspondientes. Además, se llevarán a cabo exámenes parciales con el fin de evaluar el material cubierto en clase, ya sea presencialmente o a través de tareas de resolución de ejercicios e investigaciones asignadas."
IEM2208,"Se ofrecerán clases magistrales de manera presencial, en las cuales se presentarán los conceptos relevantes de cada tema. Estos conceptos serán luego abordados por los estudiantes a través de numerosas prácticas, tareas y exámenes cortos. Durante el horario establecido, los estudiantes tendrán la oportunidad de consultar al profesor para aclarar dudas relacionadas tanto con el contenido teórico como con las tareas relacionadas a proyectos asignados.
A lo largo del curso, se fomentará la participación de los estudiantes en diversas actividades en clase, como preguntas dirigidas por el profesor y trabajos en grupos para resolver ejercicios específicos relacionados con los temas tratados en las lecciones correspondientes. Además, se llevarán a cabo exámenes parciales con el fin de evaluar el material cubierto en clase, ya sea presencialmente o a través de tareas de resolución de ejercicios e investigaciones asignadas."
IEM2255,"Los laboratorios serán expuestos por los estudiantes y guiados por el profesor. Los estudiantes asignados darán una breve introducción del laboratorio que incluye. El objetivo, diagramas de conexión, equipo, procedimiento a realizar, tablas de datos experimentales, y los principales cuidados.

Todos los estudiantes presentarán un trabajo previo el día del laboratorio, que incluye el objetivo, diagrama de conexión y tabla de datos. La bitácora de cada laboratorio debe entregarse 8 días después de realizar cada experimento.
Luego los estudiantes conectan los equipos e instrumentos y realizan la práctica del día; posteriormente con los datos obtenidos se realizará el análisis de los resultados obtenidos.

Se realizarán 2 Casos de Análisis en el aula, la nota de cada caso se dividirá en un 50% individual evaluado a través de una comprobación corta, y el otro 50% a través de una solución grupal del caso"
IEM2256,"Los laboratorios serán expuestos por los estudiantes y guiados por el profesor. Los estudiantes asignados darán una breve introducción del laboratorio que incluye. El objetivo, diagramas de conexión, equipo, procedimiento a realizar, tablas de datos experimentales, y los principales cuidados.

Todos los estudiantes presentarán un trabajo previo el día del laboratorio, que incluye el objetivo, diagrama de conexión y tabla de datos. 
Luego los estudiantes conectan los equipos e instrumentos y realizan la práctica del día; posteriormente con los datos obtenidos se realizará el análisis de los resultados obtenidos.

Se realizarán dos CASOS de análisis en el aula, la nota de cada caso se dividirá en un 50% individual evaluado a través de una comprobación corta, y el otro 50% a través de una solución grupal del caso"
IEM2301,"El modelo pedagógico del ITCR busca que el estudiante adquiera un aprendizaje significativo, constructivista e interaccionista, para lograr este objetivo de aprendizaje el curso utiliza una combinación de la metodología de simulación, la metodología de Inmersión y las metodologías participativas.
Los 3 proyectos colaborativos buscan que los estudiantes experimenten con los transductores, sus características, usos y brinden ejemplos con aplicaciones reales de los mismos. Para esto los estudiantes usaran equipos como multímetros u osciloscopios para medir la respuesta de los sensores. Así mismo las presentaciones orales de un grupo de estudiantes muestran la teoría asociada y ejemplos de aplicaciones del tema signado para el desarrollo. Finalmente, el profesor en desarrollará temas complejos con ejemplos demostrativos, visitas a laboratorio y videos entre otros."
IEM2302,Los contenidos del curso se desarrollarán mediante sesiones presenciales con exposiciones magistrales de la materia seguidas por sesiones de trabajo con metodologías de simulación e inmersión. Además se desarrollaran trabajos grupales que permitan evaluar el aprendizaje significativo.
IEM2303,"El modelo pedagógico del ITCR busca que el estudiante adquiera un aprendizaje significativo, constructivista e interaccionista, para lograr este objetivo de aprendizaje el curso utiliza una combinación de la metodología de simulación, la metodología de integración y las metodologías participativas. Por lo que en curso combinará la presentación del contenido por parte de la persona docente, trabajo individual por parte de la persona estudiante, prácticas de laboratorio guiadas y el desarrollo de un proyecto final del curso cuyo objetivo es integral el material visto en este cuso.
Se espera que fuera de clase la persona estudiante trabajará de forma individual repasando la materia, haciendo lecturas, realizando ejercicios y simulaciones y resolviendo problemas; también trabajará en grupos estudiando de forma cooperativa y en el desarrollo del proyecto."
IEM2304,"Clases magistrales, análisis de casos, temas de investigación a desarrollar en grupos y/o individual, exámenes cortos."
IEM2305,"Clases magistrales, análisis de casos, temas de investigación a desarrollar en grupos y/o individual, exámenes cortos y examenes parciales."
IEM2306,"El modelo pedagógico del ITCR busca que el estudiante adquiera un aprendizaje significativo, constructivista e interaccionista, para lograr este objetivo de aprendizaje el curso utiliza una combinación de la metodología de simulación, la metodología de integración y las metodologías participativas. Por lo que en curso combinará la presentación del contenido por parte de la persona docente, trabajo individual por parte de la persona estudiante, prácticas de laboratorio guiadas y el desarrollo de un proyecto final del curso cuyo objetivo es integral el material visto en este curso.
Se espera que fuera de clase la persona estudiante trabajará de forma individual repasando la materia, haciendo lecturas, realizando ejercicios y simulaciones y resolviendo problemas; también trabajará en grupos estudiando de forma cooperativa y en el desarrollo del proyecto."
IEM2307,"Clases magistrales, análisis de casos, temas de investigación a desarrollar en grupos y/o individual, exámenes cortos."
IEM2309,"Clases magistrales, análisis de casos, temas de investigación a desarrollar en grupos y/o individual.
También se desarrollará un proyecto de investigación, el cual se debe presentar en forma escrita como parte del trabajo en clase, donde se evidencia la aplicación de los temas desarrollados en clase."
IEM2311,"El modelo pedagógico del ITCR busca que el estudiante adquiera un aprendizaje significativo, constructivista e interaccionista, para lograr este objetivo de aprendizaje el curso utiliza una combinación de la metodología de simulación, la metodología de Inmersión y las metodologías participativas.
En el curso se desarrollan 3 proyectos colaborativos busca que los estudiantes se inmersan en las tecnologías de automatización.  Los estudiantes usaran utilizarán PLC, sensores, redes industriales, sistemas  SCADA y ambientes de simulación para integrar sus respectivos proyectos. Así mismo existirán don presentaciones orales de temas de investigación y desarrollo donde se muestre la teoría asociada y ejemplos de su uso. Finalmente, el profesor en desarrollará temas complejos con ejemplos demostrativos clases Teórico-Practicas."
EM2102,"Sesiones de clases magistrales o educación a distancia (según la modalidad matriculada). Se asignarán una serie de actividades semanales donde se expondrán los conceptos relevantes de cada tema y serán analizados con ejemplos reales, además se asignará a los estudiantes la realización de ejercicios de práctica de los libros de texto recomendados.
Independiente de la modalidad matriculada las clases combinaran el trabajo previo de los estudiantes, la exposición y reforzamiento de conceptos por parte del profesor, y el trabajo grupal de los y las estudiantes. "
EM2108,"Curso compartido con clases teórico-prácticas magistrales y estrategias participativas caracterizan este curso. En la primera mencionada, se expondrán los conceptos y procedimientos relevantes de cada tema por parte del profesor. Estos temas serán trabajados por el estudiante en la resolución de problemas prácticos en formatos A3 y A4 mediante herramientas computacionales por computadora en dos y tres dimensiones. Las exposiciones serán individuales o grupales según criterio del profesor y nivel de resolución del problema. La retroalimentación será participativa entre profesor y alumno aportando estos últimos los conocimientos adquiridos en el curso.
Se realizará un proyecto de curso, con el fin de contrastar lo aprendido con la realidad del contexto y lograr experiencias de aprendizaje significativas para el futuro desempeño de los estudiantes. Los exámenes parciales, y finales podrán ser en el aula y para la casa."
EM2107,"Clases magistrales/virtuales (sincrónicas y asincrónicas) donde se expondrán los conceptos y teorías relevantes de cada tema, los cuales serán asimilados por los estudiantes a través de la resolución de ejercicios prácticos durante y fuera de la clase. Es responsabilidad del profesor recomendar ejercicios de práctica para que el estudiante refuerce los conceptos durante su estudio extra clase. Además, es responsabilidad del estudiante realizar los ejercicios y las lecturas correspondientes de cada capítulo previo a la clase magistral/virtual. Se ofrecerán horas de consulta para que el estudiante pueda evacuar dudas
puntuales con el profesor o el tutor del curso"
EM2106,"El curso se impartirá mediante una combinación de clases teóricas, ejercicios prácticos, estudios de casos y demostraciones de laboratorio (si es posible). Se fomentará la participación activa de los estudiantes en la resolución de problemas y la discusión de conceptos clave.

Sesiones Teóricas Interactivas:

Presentaciones magistrales para introducir conceptos fundamentales.
Uso de material visual, como gráficos y videos, para mejorar la comprensión.

Estudios de Caso y Análisis:

Desarrollo de estudios de caso basados en situaciones del mundo real.
Discusiones en grupo para analizar y resolver problemas prácticos.
Aplicación de teorías aprendidas a escenarios específicos de la industria.

Trabajo en Grupo y Colaborativo:

Actividades en grupo para promover el intercambio de ideas y la resolución colectiva de problemas.

Sesiones de Preguntas y Respuestas:

Sesiones dedicadas para abordar preguntas específicas y aclarar dudas.
Fomento de la interacción estudiante-profesor para un aprendizaje personalizado.

Evaluación Continua:

Pruebas cortas y evaluaciones periódicas para medir la comprensión teórica.
Retroalimentación constante para orientar a los estudiantes y mejorar su desempeño.

Recursos Adicionales y Autoaprendizaje:

Proporcionar lecturas adicionales, videos y recursos en línea para el autoaprendizaje.
Fomentar la investigación independiente sobre temas específicos relacionados con intercambiadores de calor utilizados en la industria costarricense.
Acceso a materiales de referencia para profundizar en áreas de interés individual.

Esta metodología integral busca brindar una experiencia de aprendizaje equilibrada y participativa, donde los estudiantes no solo adquieran conocimientos teóricos, sino también desarrollen habilidades prácticas esenciales para el trabajo en el campo de los procesos de intercambio de calor en la industria."
MI4136,
MI4300,Clases magistrales y participativas con prácticas en clase.
MI2101,"Modalidad presencial o virtual de acuerdo con el grupo atriculado. En las sesiones se expondrán los conceptos teóricos relevantes de cada tema por medio de material escrito o audiovisual, los cuales serán trabajados por el estudiante en numerosas prácticas realizadas en clases y tareas coordinadas."
MI2106,"Sesiones de clases magistrales o educación a distancia (según la modalidad matriculada). Se asignarán una serie de actividades semanales donde se expondrán los conceptos relevantes de cada tema y serán analizados con ejemplos reales, además se asignará a los estudiantes la realización de ejercicios de práctica de los libros de texto recomendados. Independiente de la modalidad matriculada las clases combinaran el trabajo previo de los estudiantes, la exposición y reforzamiento de conceptos por parte del profesor, y el trabajo grupal de los y las estudiantes."
MI2202,
MI2204,"Los experimentos serán realizados en subgrupos y desarrollarán la guía general de laboratorio. El trabajo es colaborativo y al menos dos integrantes serán encargados de tomar nota de los datos, el resto ejecutará las conexiones y manejarán los equipos. En ocasiones previamente definidas, se iniciará con un examen corto relacionado con el laboratorio o una evaluación al finalizar. En otros casos, se asignarán trabajos de análisis las cuales serán entregados una semana después en forma grupal o individual según las instrucciones del profesor. No podrán realizar las prácticas de laboratorio ni evaluaciones asociadas al experimento en caso que falten con la indumentaria apropiada: gabacha blanca de manga larga y calzado cerrado."
MI2205,"Lecciones de asistencia libre, impartidas de manera semi presencial, donde se expondrán los conceptos relevantes de cada tema. Los documentos y noticias se publicarán oficialmente en el TECDigital.Las actividades virtuales se realizarán por medio de la plataforma Teams, con una clase sincrónica que se grabará, las cuales se centrarán en los temas estrictamente teóricos. Las actividades presenciales, serán las pruebas escritas, y las clases donde se desarrollan ejemplos.
Los contenidos serán desarrollados en clases magistrales, presentaciones en PowerPoint, ejemplos resueltos y ejercicios propuestos; siendo evaluados en tareas y exámenes. Se utilizarán además actividades formativas para reforzar el aprendizaje de los conceptos vistos, de forma complementaria se pondrán a disposición guías de estudio, texto de referencia, videos de la plataforma de YouTube, ejercicios tomados de exámenes de semestres anteriores, entre otros. Los exámenes parciales y cortos se aplicarán de forma presencial en fechas y modos que oportunamente se indicarán según lo previsto por el RREA; la publicación de estos se hará en el TECDigital y los correos oficiales de los 
estudiantes según la lista del DAR. Con el curso se pretende trabajar en el objetivo de desarrollo sostenible (ODS) número 4 “Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanente para todos”. En particular las siguientes acciones:
• 4.3 De aquí a 2030, asegurar el acceso igualitario de todos los hombres y las mujeres a una formación técnica, profesional y superior de calidad, incluida la enseñanza universitaria.
• 4.4 De aquí a 2030, aumentar considerablemente el número de jóvenes y adultos que tienen las competencias necesarias, en particular técnicas y profesionales, para acceder al empleo, el trabajo decente y el emprendimiento."
MI2207,"Lecciones presenciales de asistencia opcional y complementadas con recursos audiovisuales que exponen conceptos relevantes de cada tema. El 30% de las sesiones pueden ser desarrolladas en modo virtual (sincrónico o asincrónico). 
El contenido temático se sustenta en varias secciones de las referencias bibliográficas y de otros materiales digitales. Se establecerá un horario de consulta mediante canales virtuales para evacuar dudas del contenido teórico o solución de ejemplos.
Se realizarán tres exámenes parciales que evalúan la materia desarrollada en lecciones y los contenidos de las referencias bibliográficas. Estas evaluaciones son acompañadas de varias tareas y exámenes cortos debidamente anunciados."
MI3103,"Se impartirá a través de la modalidad presencial lo cual se desarrollará mediante clases presenciales y 2 clases virtuales asincrónicas de ser necesario (el material se estudia de forma independiente siguiendo una guía suministrada por el profesor). Se tendrá un libro de texto como guía para el desarrollo del programa del curso. 
Las clases serán impartidas por dos profesores cada uno especializado en un área de estudio específica: Soldadura o Precisión. La totalidad de estudiantes matriculados será dividida en dos módulos, uno de los cuales será asignado al profesor del área de Soldadura y el otro al área de Precisión. 
Al llegar a la semana nueve, los grupos cambian de módulo, de manera que cursen la totalidad de los contenidos planteados. "
MI3104,"Se impartirá a través de la modalidad presencial mediante clases magistrales, donde se expondrán los conceptos fundamentales de cada tema, acompañados de una adecuada práctica demostrativa. Además, los estudiantes realizarán varias prácticas sugeridas, según indicaciones por escrito. Se promueve la investigación, ampliando el criterio profesional en aplicaciones directas de la manufactura sobre procesos industriales modernos"
MI3108,"Clases magistrales de asistencia opcional, donde se expondrán los conceptos relevantes de cada tema, los cuales serán trabajados por el estudiante en numerosas prácticas de tareas y quices. El alumno podrá consultar al profesor en el horario preestablecido para evacuar cualquier duda, sea del contenido teórico y/o de las tareas relativas a proyectos asignados.
Durante el curso el estudiante participará de actividades en clase, como preguntas dirigidas por el profesor, trabajos en grupos para resolver ejercicios dirigidos puntuales y específicos sobre un tema desarrollado en la lección correspondiente.
Se realizarán exámenes parciales que pretenden evaluar la materia vista en clases, presenciales y/o materia asignada a través de tareas de resolución de ejercicios e investigaciones asignadas.
Después de las dos terceras partes del periodo lectivo, a los estudiantes se les asignará trabajos de programación, que simulen sistemas hidráulicos básicos, por lo que tendrán que invertir tiempo extra clase para conocer y perfeccionar leguaje de programación en Visual Basic, y Matlab en el desarrollo de estas “programadas”. Estas asignaciones estarán sujetas a defensas individuales fuera de clase que aseguren el aprendizaje y ejecución final de la aplicación."
MI3111,
MI3115,"Clases magistrales/virtuales (sincrónicas y asincrónicas) donde se expondrán los conceptos y teorías relevantes de cada tema, los cuales serán asimilados por los estudiantes a través de la resolución de ejercicios prácticos durante y fuera de la clase. Es responsabilidad del profesor recomendar ejercicios de práctica para que el estudiante refuerce los conceptos durante su estudio extra-clase. Además, es responsabilidad del estudiante realizar los ejercicios y las lecturas correspondientes de cada capítulo previo a la clase magistral/virtual. Se ofrecerán horas de consulta para que el estudiante pueda evacuar dudas puntuales con el profesor o el tutor del curso."
MI3116,"Clases magistrales de asistencia opcional, donde se expondrán los conceptos relevantes de cada tema, los cuales serán trabajados por el estudiante en numerosas prácticas de tareas y quices. El alumno podrá consultar al profesor en el horario preestablecido para evacuar cualquier duda, sea del contenido teórico y/o de las tareas relativas a proyectos asignados. Durante el curso el estudiante participará de actividades en clase, como preguntas dirigidas por el profesor, trabajos en grupos para resolver ejercicios dirigidos puntuales y específicos sobre un tema desarrollado en la lección correspondiente. Se realizarán exámenes parciales que pretenden evaluar la materia vista en clases, presenciales y/o materia asignada a través de tareas de resolución de ejercicios e investigaciones asignadas. Se asignará a los estudiantes de dos proyectos de curso que se realizarán en grupos de no más de 3 integrantes. En cada proyecto se desarrollará uno de los 3 grandes temas del curso (Suministro de Agua, Aire Comprimido, Ventilación). Estos proyectos tienen una salida de Diseño, en donde se solicitará cumplir con ciertos requerimientos.  "
MI3117,"Se impartirá a través de la modalidad presencial. El alumno podrá consultar al profesor en el horario preestablecido para evacuar cualquier duda, sea del contenido teórico y/o de los ejercicios. Durante el curso el estudiante participará de actividades en clase, como preguntas dirigidas por el profesor, trabajos en grupos para resolver ejercicios dirigidos puntuales y específicos sobre un tema desarrollado en la lección correspondiente. Se realizará exámenes parciales que pretenden evaluar la materia vista en clases, presenciales y/o materia asignada a través de tareas de resolución de ejercicios, proyectos e investigaciones asignadas."
MI3119,
MI3124,"Clases magistrales y estrategias participativas caracterizan este curso. En la primera mencionada, se expondrán los conceptos y procedimientos relevantes de cada tema por parte del profesor. Estos temas serán trabajados por el estudiante en la resolución de problemas prácticos en formatos A3 y A4 utilizando los instrumentos manuales de Dibujo y asistido por computadora en dos y tres dimensiones. Las exposiciones serán individuales o grupales según criterio del profesor y nivel de resolución del problema. La retroalimentación será participativa entre profesor y alumno aportando estos últimos los conocimientos adquiridos en el curso. Se realizará un proyecto de curso, donde deberán visitar una planta industrial con el fin de contrastar lo aprendido con la realidad del contexto y lograr experiencias de aprendizaje significativas para el futuro desempeño de los estudiantes. Los exámenes parciales, y finales podrán ser en el aula y para la casa."
MI3130,
MI3138,"Clases magistrales o clases virtuales sincrónicas de asistencia opcional y clases asincrónicas con actividades, donde se expondrán los conceptos relevantes de cada tema, los cuales serán evaluado por medio prácticas de un proyecto, tareas, quices y examenes. El estudiante podrá consultar al profesor en el horario preestablecido para evacuar cualquier duda, sea del contenido teórico y/o de las tareas y el proyecto asignados. 
Durante el curso el estudiante participará de actividades en clase, con preguntas dirigidas o directas por el profesor, también se realizarán grupos de trabajo para resolver ejercicios dirigidos puntuales y específicos sobre un tema desarrollado en la lección correspondiente. 
Se realizarán exámenes parciales que pretenden evaluar la materia vista en clases en las sesiones sincrónicas y asincrónicas de la materia asignada Se asignará a los estudiantes un proyecto de curso que se podrán realizarlo en grupos de no más de 3 integrantes, pero la entrega en el TEC-Digital será individual. Todos los elementos de evaluación deberán entregarse en la plataforma del TEC-Digital, previo a la hora y fecha definidas. En caso de entrega fuera del plazo se calificarán en base a 80.
El curso tiene la posibilidad de la realización de examen de reposición."
MI3206,"Los laboratorios serán expuestos por los estudiantes y guiados por el profesor. Los estudiantes asignados darán una breve introducción del laboratorio que incluye. El objetivo, diagramas de conexión, equipo, procedimiento a realizar, tablas de datos experimentales, y los principales cuidados.
Todos los estudiantes presentarán un trabajo previo el día del laboratorio, que incluye el objetivo, diagrama de conexión y tabla de datos. En parejas la bitácora de los laboratorios 8 días después de realizarse. 
Luego los estudiantes conectan los equipos e instrumentos y realizan la práctica del día; posteriormente con los datos obtenidos se realizará el análisis de los resultados obtenidos.
Se realizarán cuatro casos en el aula, la nota de cada caso se dividirá en un 50% individual evaluado a través de una comprobación corta, y el otro 50%  a través de una solución grupal del caso."
MI3209,"Lecciones de asistencia libre, impartidas de manera semi presencial, donde se expondrán los conceptos relevantes de cada tema. Los documentos y noticias se publicarán oficialmente en el TECDigital Las actividades virtuales se realizarán por medio de la plataforma Teams, con una clase sincrónica que se grabará, las cuales se centrarán en los temas estrictamente teóricos. Las actividades presenciales, serán las pruebas escritas, las experiencias de laboratorio y las clases donde se desarrollan 
ejemplos.
Los contenidos serán desarrollados en clases magistrales, presentaciones en PowerPoint, ejemplos resueltos y ejercicios propuestos; siendo evaluados en tareas y exámenes. 
Se utilizarán además actividades formativas para reforzar el aprendizaje de los conceptos vistos, de forma complementaria se pondrán a disposición guías de estudio, texto de referencia, videos de la plataforma de YouTube, ejercicios tomados de exámenes de semestres anteriores, entre otros. 
Los exámenes parciales y cortos se aplicarán de forma presencial en fechas y modos que oportunamente se indicarán según lo previsto por el RREA; la publicación de estos se hará en el TECDigital y los correos oficiales de los estudiantes según la lista del DAR.
Con el curso se pretende trabajar en el objetivo de desarrollo sostenible (ODS) número 4 “Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanente para todos”. En particular las siguientes acciones:
• 4.3 De aquí a 2030, asegurar el acceso igualitario de todos los 
hombres y las mujeres a una formación técnica, profesional y 
superior de calidad, incluida la enseñanza universitaria.
• 4.4 De aquí a 2030, aumentar considerablemente el número de 
jóvenes y adultos que tienen las competencias necesarias, en 
particular técnicas y profesionales, para acceder al empleo, el 
trabajo decente y el emprendimiento."
MI3210,"Clases magistrales y participativas de asistencia opcional, donde se expondrán los conceptos relevantes de cada tema por parte del profesor, los cuales serán trabajados por el estudiante mediante prácticas y exámenes cortos. El alumno podrá consultar al profesor en el horario preestablecido para evacuar cualquier duda, sea del contenido teórico y/o de las tareas relativas a proyectos asignados. Durante el curso el estudiante participará de actividades en clase, como preguntas dirigidas por el profesor, trabajos en grupos para resolver ejercicios dirigidos puntuales y específicos sobre un tema desarrollado en la lección correspondiente. Se realizarán exámenes parciales que pretenden evaluar la materia vista en clases, presenciales y/o materia  asignada a través de tareas de resolución de ejercicios e investigaciones asignadas. 
En la última etapa del desarrollo de los 3 temas principales (asincrónico, sincrónico y corriente directa) se destinará para la ejecución de prácticas mediante la simulación 
delos modelos matemáticos de cada máquina, lo cual suma al finalizar el periodo lectivo, la tercera parte del curso, a los estudiantes se les asignará trabajos de programación, que simulen las máquinas eléctricas, por lo que tendrán que invertir tiempo extra-clase para conocer y perfeccionar en leguaje de programación OPEN SOURCE. Estas asignaciones serán evaluadas de manera individual, que aseguren el aprendizaje y ejecución de la aplicación."
